Residence,Region,Sub-Region,Period,Study
Middle East,Asia,,2012-03,20
India,Asia,,2012-03,38
"Korea,Republic of",Asia,,2012-03,196
Japan,Asia,,2012-03,515
Mainland China,Asia,,2012-03,29
HongKong. Macao,Asia,,2012-03,66
HongKong. Macao,Asia,,2012-04,113
Austria,Europe,,2012-04,11
Greece,Europe,,2012-04,0
Sweden,Europe,,2012-04,20
Russian Federation,Europe,,2012-04,18
"Others, Europe",Europe,,2012-04,85
Unstated,,,2012-04,0
Mainland China,Asia,,2012-04,182
"Others, Oceania",Oceania,,2012-04,3
S. Africa,Africa,,2012-04,5
"Others, Africa",Africa,,2012-04,16
United Kingdom,Europe,,2012-04,23
Australia,Oceania,,2012-04,20
Spain,Europe,,2012-04,23
New Zealand,Oceania,,2012-04,6
Netherlands,Europe,,2012-04,22
Japan,Asia,,2012-04,316
"Korea,Republic of",Asia,,2012-04,171
India,Asia,,2012-04,16
Switzerland,Europe,,2012-04,14
Malaysia,Asia,Southeast Asia,2012-04,266
Singapore,Asia,Southeast Asia,2012-04,43
Indonesia,Asia,Southeast Asia,2012-04,114
Philippines,Asia,Southeast Asia,2012-04,265
Thailand,Asia,Southeast Asia,2012-04,258
Vietnam,Asia,Southeast Asia,2012-04,212
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,7
Middle East,Asia,,2012-04,53
Canada,America,,2012-04,50
"Others, Asia",Asia,,2012-04,26
Germany,Europe,,2012-04,54
Belgium,Europe,,2012-04,7
"Others, America",America,,2012-04,59
Argentina,America,,2012-04,0
France,Europe,,2012-04,134
Mexico,America,,2012-04,5
United States of America,America,,2012-04,282
Brazil,America,,2012-04,9
Italy,Europe,,2012-04,7
Germany,Europe,,2012-05,68
Austria,Europe,,2012-05,14
Italy,Europe,,2012-05,12
Netherlands,Europe,,2012-05,22
Switzerland,Europe,,2012-05,11
Spain,Europe,,2012-05,20
France,Europe,,2012-05,127
United Kingdom,Europe,,2012-05,19
Australia,Oceania,,2012-05,17
Sweden,Europe,,2012-05,16
Russian Federation,Europe,,2012-05,14
"Others, Europe",Europe,,2012-05,69
New Zealand,Oceania,,2012-05,6
"Others, Oceania",Oceania,,2012-05,6
S. Africa,Africa,,2012-05,7
"Others, Africa",Africa,,2012-05,8
Belgium,Europe,,2012-05,8
Unstated,,,2012-05,0
Greece,Europe,,2012-05,1
"Others, America",America,,2012-05,63
"Others, Asia",Asia,,2012-05,27
Brazil,America,,2012-05,6
Argentina,America,,2012-05,2
HongKong. Macao,Asia,,2012-05,68
Mainland China,Asia,,2012-05,37
Japan,Asia,,2012-05,357
"Korea,Republic of",Asia,,2012-05,219
India,Asia,,2012-05,82
Malaysia,Asia,Southeast Asia,2012-05,219
Singapore,Asia,Southeast Asia,2012-05,146
Middle East,Asia,,2012-05,11
Philippines,Asia,Southeast Asia,2012-05,42
Thailand,Asia,Southeast Asia,2012-05,68
Vietnam,Asia,Southeast Asia,2012-05,156
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,8
Canada,America,,2012-05,51
United States of America,America,,2012-05,407
Mexico,America,,2012-05,8
Indonesia,Asia,Southeast Asia,2012-05,99
HongKong. Macao,Asia,,2012-06,132
Argentina,America,,2012-06,3
Brazil,America,,2012-06,5
Mexico,America,,2012-06,9
United States of America,America,,2012-06,802
Canada,America,,2012-06,73
"Others, Asia",Asia,,2012-06,36
Mainland China,Asia,,2012-06,16
Philippines,Asia,Southeast Asia,2012-06,43
"Korea,Republic of",Asia,,2012-06,230
India,Asia,,2012-06,53
Middle East,Asia,,2012-06,15
Malaysia,Asia,Southeast Asia,2012-06,294
Singapore,Asia,Southeast Asia,2012-06,136
Indonesia,Asia,Southeast Asia,2012-06,219
"Others, America",America,,2012-06,99
Thailand,Asia,Southeast Asia,2012-06,112
Japan,Asia,,2012-06,320
Belgium,Europe,,2012-06,6
Greece,Europe,,2012-06,0
Germany,Europe,,2012-06,57
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,7
Unstated,,,2012-06,1
"Others, Africa",Africa,,2012-06,30
S. Africa,Africa,,2012-06,3
"Others, Oceania",Oceania,,2012-06,2
New Zealand,Oceania,,2012-06,4
Australia,Oceania,,2012-06,22
France,Europe,,2012-06,126
"Others, Europe",Europe,,2012-06,86
Sweden,Europe,,2012-06,14
Austria,Europe,,2012-06,5
United Kingdom,Europe,,2012-06,34
Spain,Europe,,2012-06,33
Switzerland,Europe,,2012-06,8
Netherlands,Europe,,2012-06,26
Italy,Europe,,2012-06,26
Russian Federation,Europe,,2012-06,52
Vietnam,Asia,Southeast Asia,2012-06,132
"Others, Africa",Africa,,2012-07,37
Unstated,,,2012-07,0
Mainland China,Asia,,2012-07,46
Indonesia,Asia,Southeast Asia,2012-07,378
Singapore,Asia,Southeast Asia,2012-07,73
Malaysia,Asia,Southeast Asia,2012-07,585
Middle East,Asia,,2012-07,27
India,Asia,,2012-07,46
"Korea,Republic of",Asia,,2012-07,390
Philippines,Asia,Southeast Asia,2012-07,28
Sweden,Europe,,2012-07,14
"Others, Europe",Europe,,2012-07,126
Australia,Oceania,,2012-07,72
New Zealand,Oceania,,2012-07,12
"Others, Oceania",Oceania,,2012-07,19
S. Africa,Africa,,2012-07,10
Japan,Asia,,2012-07,365
Russian Federation,Europe,,2012-07,23
Thailand,Asia,Southeast Asia,2012-07,157
Vietnam,Asia,Southeast Asia,2012-07,195
