Residence,Region,Sub-Region,Period,Pleasure
Vietnam,Asia,Southeast Asia,2012-06,567
"Others, Africa",Africa,,2012-07,18
Unstated,,,2012-07,5
Mainland China,Asia,,2012-07,183406
Indonesia,Asia,Southeast Asia,2012-07,1605
Singapore,Asia,Southeast Asia,2012-07,10606
Malaysia,Asia,Southeast Asia,2012-07,10411
Middle East,Asia,,2012-07,114
India,Asia,,2012-07,77
"Korea,Republic of",Asia,,2012-07,10672
Philippines,Asia,Southeast Asia,2012-07,1152
Sweden,Europe,,2012-07,159
"Others, Europe",Europe,,2012-07,911
Australia,Oceania,,2012-07,2012
New Zealand,Oceania,,2012-07,238
"Others, Oceania",Oceania,,2012-07,31
S. Africa,Africa,,2012-07,41
Japan,Asia,,2012-07,67351
Russian Federation,Europe,,2012-07,58
Thailand,Asia,Southeast Asia,2012-07,1400
Vietnam,Asia,Southeast Asia,2012-07,609
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,70
United Kingdom,Europe,,2012-07,1160
Spain,Europe,,2012-07,128
Switzerland,Europe,,2012-07,240
Netherlands,Europe,,2012-07,607
Italy,Europe,,2012-07,170
Germany,Europe,,2012-07,802
France,Europe,,2012-07,861
Belgium,Europe,,2012-07,165
"Others, America",America,,2012-07,116
Argentina,America,,2012-07,23
Brazil,America,,2012-07,112
Mexico,America,,2012-07,61
United States of America,America,,2012-07,9473
Canada,America,,2012-07,2978
"Others, Asia",Asia,,2012-07,16
HongKong. Macao,Asia,,2012-07,69631
Austria,Europe,,2012-07,208
Greece,Europe,,2012-07,17
"Others, Africa",Africa,,2012-08,24
Argentina,America,,2012-08,8
Brazil,America,,2012-08,28
Mexico,America,,2012-08,28
United States of America,America,,2012-08,7271
