Residence,Region,Sub-Region,Period,Conference
Unstated,,,2012-05,1
Greece,Europe,,2012-05,5
"Others, America",America,,2012-05,34
"Others, Asia",Asia,,2012-05,31
Brazil,America,,2012-05,4
Argentina,America,,2012-05,3
HongKong. Macao,Asia,,2012-05,564
Mainland China,Asia,,2012-05,165
Japan,Asia,,2012-05,889
"Korea,Republic of",Asia,,2012-05,406
India,Asia,,2012-05,149
Malaysia,Asia,Southeast Asia,2012-05,259
Singapore,Asia,Southeast Asia,2012-05,328
Middle East,Asia,,2012-05,34
Philippines,Asia,Southeast Asia,2012-05,127
Thailand,Asia,Southeast Asia,2012-05,135
Vietnam,Asia,Southeast Asia,2012-05,104
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,9
Canada,America,,2012-05,74
United States of America,America,,2012-05,526
Mexico,America,,2012-05,16
Indonesia,Asia,Southeast Asia,2012-05,106
HongKong. Macao,Asia,,2012-06,554
Argentina,America,,2012-06,3
Brazil,America,,2012-06,22
Mexico,America,,2012-06,1
United States of America,America,,2012-06,802
Canada,America,,2012-06,106
"Others, Asia",Asia,,2012-06,50
Mainland China,Asia,,2012-06,139
Philippines,Asia,Southeast Asia,2012-06,273
"Korea,Republic of",Asia,,2012-06,513
India,Asia,,2012-06,168
Middle East,Asia,,2012-06,69
Malaysia,Asia,Southeast Asia,2012-06,459
Singapore,Asia,Southeast Asia,2012-06,370
Indonesia,Asia,Southeast Asia,2012-06,130
"Others, America",America,,2012-06,39
Thailand,Asia,Southeast Asia,2012-06,188
Japan,Asia,,2012-06,818
Belgium,Europe,,2012-06,22
Greece,Europe,,2012-06,4
Germany,Europe,,2012-06,92
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,29
Unstated,,,2012-06,0
"Others, Africa",Africa,,2012-06,21
S. Africa,Africa,,2012-06,17
"Others, Oceania",Oceania,,2012-06,11
New Zealand,Oceania,,2012-06,31
Australia,Oceania,,2012-06,214
France,Europe,,2012-06,104
"Others, Europe",Europe,,2012-06,72
Sweden,Europe,,2012-06,8
Austria,Europe,,2012-06,5
United Kingdom,Europe,,2012-06,108
Spain,Europe,,2012-06,17
Switzerland,Europe,,2012-06,19
Netherlands,Europe,,2012-06,17
Italy,Europe,,2012-06,59
Russian Federation,Europe,,2012-06,37
Vietnam,Asia,Southeast Asia,2012-06,60
"Others, Africa",Africa,,2012-07,26
Unstated,,,2012-07,1
Mainland China,Asia,,2012-07,44
Indonesia,Asia,Southeast Asia,2012-07,120
Singapore,Asia,Southeast Asia,2012-07,330
