Residence,Region,Sub-Region,Period,Visit Relatives
Philippines,Asia,Southeast Asia,2012-03,671
Indonesia,Asia,Southeast Asia,2012-03,768
Singapore,Asia,Southeast Asia,2012-03,1171
Malaysia,Asia,Southeast Asia,2012-03,1571
Middle East,Asia,,2012-03,57
India,Asia,,2012-03,181
"Korea,Republic of",Asia,,2012-03,949
Japan,Asia,,2012-03,3730
Mainland China,Asia,,2012-03,4286
HongKong. Macao,Asia,,2012-03,2106
HongKong. Macao,Asia,,2012-04,2516
Austria,Europe,,2012-04,84
Greece,Europe,,2012-04,2
Sweden,Europe,,2012-04,99
Russian Federation,Europe,,2012-04,29
"Others, Europe",Europe,,2012-04,148
Unstated,,,2012-04,9
Mainland China,Asia,,2012-04,4211
"Others, Oceania",Oceania,,2012-04,7
S. Africa,Africa,,2012-04,66
"Others, Africa",Africa,,2012-04,46
United Kingdom,Europe,,2012-04,462
Australia,Oceania,,2012-04,1099
Spain,Europe,,2012-04,64
New Zealand,Oceania,,2012-04,292
Netherlands,Europe,,2012-04,146
Japan,Asia,,2012-04,3599
"Korea,Republic of",Asia,,2012-04,918
India,Asia,,2012-04,225
Switzerland,Europe,,2012-04,112
Malaysia,Asia,Southeast Asia,2012-04,1493
Singapore,Asia,Southeast Asia,2012-04,1059
Indonesia,Asia,Southeast Asia,2012-04,672
Philippines,Asia,Southeast Asia,2012-04,1034
Thailand,Asia,Southeast Asia,2012-04,1292
Vietnam,Asia,Southeast Asia,2012-04,2140
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,170
Middle East,Asia,,2012-04,92
Canada,America,,2012-04,1395
"Others, Asia",Asia,,2012-04,106
Germany,Europe,,2012-04,359
Belgium,Europe,,2012-04,40
"Others, America",America,,2012-04,105
Argentina,America,,2012-04,9
France,Europe,,2012-04,529
Mexico,America,,2012-04,25
United States of America,America,,2012-04,11138
Brazil,America,,2012-04,45
Italy,Europe,,2012-04,68
Germany,Europe,,2012-05,284
Austria,Europe,,2012-05,37
Italy,Europe,,2012-05,64
Netherlands,Europe,,2012-05,108
Switzerland,Europe,,2012-05,53
Spain,Europe,,2012-05,40
France,Europe,,2012-05,321
United Kingdom,Europe,,2012-05,363
Australia,Oceania,,2012-05,677
Sweden,Europe,,2012-05,34
Russian Federation,Europe,,2012-05,22
"Others, Europe",Europe,,2012-05,131
New Zealand,Oceania,,2012-05,196
"Others, Oceania",Oceania,,2012-05,12
S. Africa,Africa,,2012-05,61
"Others, Africa",Africa,,2012-05,27
Belgium,Europe,,2012-05,26
Unstated,,,2012-05,7
Greece,Europe,,2012-05,8
"Others, America",America,,2012-05,97
"Others, Asia",Asia,,2012-05,141
Brazil,America,,2012-05,42
Argentina,America,,2012-05,23
HongKong. Macao,Asia,,2012-05,1727
Mainland China,Asia,,2012-05,4278
Japan,Asia,,2012-05,2496
"Korea,Republic of",Asia,,2012-05,912
India,Asia,,2012-05,224
Malaysia,Asia,Southeast Asia,2012-05,1622
Singapore,Asia,Southeast Asia,2012-05,1060
Middle East,Asia,,2012-05,43
Philippines,Asia,Southeast Asia,2012-05,779
Thailand,Asia,Southeast Asia,2012-05,752
Vietnam,Asia,Southeast Asia,2012-05,2151
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,118
Canada,America,,2012-05,1260
United States of America,America,,2012-05,11219
Mexico,America,,2012-05,13
Indonesia,Asia,Southeast Asia,2012-05,746
HongKong. Macao,Asia,,2012-06,2404
Argentina,America,,2012-06,14
Brazil,America,,2012-06,51
Mexico,America,,2012-06,22
United States of America,America,,2012-06,16005
Canada,America,,2012-06,1298
"Others, Asia",Asia,,2012-06,198
Mainland China,Asia,,2012-06,4605
Philippines,Asia,Southeast Asia,2012-06,555
"Korea,Republic of",Asia,,2012-06,1030
India,Asia,,2012-06,197
Middle East,Asia,,2012-06,72
Malaysia,Asia,Southeast Asia,2012-06,1680
Singapore,Asia,Southeast Asia,2012-06,1322
Indonesia,Asia,Southeast Asia,2012-06,1131
"Others, America",America,,2012-06,125
Thailand,Asia,Southeast Asia,2012-06,675
Japan,Asia,,2012-06,2592
Belgium,Europe,,2012-06,61
Greece,Europe,,2012-06,4
Germany,Europe,,2012-06,256
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,153
Unstated,,,2012-06,11
"Others, Africa",Africa,,2012-06,36
S. Africa,Africa,,2012-06,78
"Others, Oceania",Oceania,,2012-06,11
New Zealand,Oceania,,2012-06,204
Australia,Oceania,,2012-06,876
France,Europe,,2012-06,483
"Others, Europe",Europe,,2012-06,204
Sweden,Europe,,2012-06,120
Austria,Europe,,2012-06,54
United Kingdom,Europe,,2012-06,404
Spain,Europe,,2012-06,85
Switzerland,Europe,,2012-06,45
Netherlands,Europe,,2012-06,116
Italy,Europe,,2012-06,97
Russian Federation,Europe,,2012-06,45
Vietnam,Asia,Southeast Asia,2012-06,2306
"Others, Africa",Africa,,2012-07,41
Unstated,,,2012-07,12
Mainland China,Asia,,2012-07,6914
Indonesia,Asia,Southeast Asia,2012-07,806
Singapore,Asia,Southeast Asia,2012-07,1062
Malaysia,Asia,Southeast Asia,2012-07,1650
Middle East,Asia,,2012-07,99
India,Asia,,2012-07,211
"Korea,Republic of",Asia,,2012-07,1424
Philippines,Asia,Southeast Asia,2012-07,583
Sweden,Europe,,2012-07,67
"Others, Europe",Europe,,2012-07,226
Australia,Oceania,,2012-07,849
New Zealand,Oceania,,2012-07,181
"Others, Oceania",Oceania,,2012-07,24
S. Africa,Africa,,2012-07,112
Japan,Asia,,2012-07,3563
Russian Federation,Europe,,2012-07,33
Thailand,Asia,Southeast Asia,2012-07,760
Vietnam,Asia,Southeast Asia,2012-07,2517
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,145
United Kingdom,Europe,,2012-07,494
Spain,Europe,,2012-07,109
Switzerland,Europe,,2012-07,152
Netherlands,Europe,,2012-07,217
Italy,Europe,,2012-07,102
Germany,Europe,,2012-07,441
France,Europe,,2012-07,674
Belgium,Europe,,2012-07,64
"Others, America",America,,2012-07,107
Argentina,America,,2012-07,17
Brazil,America,,2012-07,59
Mexico,America,,2012-07,25
United States of America,America,,2012-07,13339
Canada,America,,2012-07,1632
"Others, Asia",Asia,,2012-07,50
HongKong. Macao,Asia,,2012-07,2443
Austria,Europe,,2012-07,117
Greece,Europe,,2012-07,7
"Others, Africa",Africa,,2012-08,45
Argentina,America,,2012-08,9
Brazil,America,,2012-08,42
Mexico,America,,2012-08,25
United States of America,America,,2012-08,11338
Canada,America,,2012-08,1432
"Others, Asia",Asia,,2012-08,119
